group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
5730,2019-08-02,12:54:05.323798,158.28125,158.28125,158.125,158.125,281,44450.0625,158.18527580071174,-0.15625,-0.0009876544012721311,158.16908360350456,158.27475608497815,-0.1056724814735901,1.0000000000000007,0.01240234375,-2.6802653605307207,-0.27176875823526203,0.012402343749999992,0,5730,-0.7011897333321874,0.008333247217440849,0.1113658105075341,-9.488772271490015,0.0,-9.488772271490015,-0.8219978297789494,-0.4674205891246751,-1.0,0.7282869736853603,0.7199537264679194,1.0,-1.0,2.0,0.0,968.0,-93.75,0,0,1.0,2.0,-312.5,23375.0,0.0,1.0,10777.5,12597.5,-315.0,125.0
5731,2019-08-02,12:55:24.420858,158.125,158.1875,158.09375,158.125,281,44436.59375,158.1373443060498,0.0,0.0,158.15928724717023,158.27014820544036,-0.11086095827013764,1.000000000000003,0.008007812500000001,-1.5437239738250987,0.3066279347281084,0.008007812499999977,0,5731,0.03041598870314201,0.7282869736853603,0.08948638164547708,-12.388584299825794,0.0,-12.388584299825794,-1.156570927753081,-0.4674205891246751,-2.0,0.8232383905793493,0.094951416893989,1.0,-1.0,1.0,0.0,968.0,-93.75,0,0,1.0,1.0,0.0,23375.0,-1.0,0.0,10777.5,12597.5,0.0,0.0
5732,2019-08-02,12:57:26.628718,158.125,158.15625,158.0,158.0,281,44414.0625,158.05716192170817,-0.125,-0.0007908264548177613,158.12389008113243,158.2618359529653,-0.13794587183286922,1.0000000000000113,0.003613281250000002,-0.021913805697572286,0.5901286563843676,0.003613281249999961,0,5732,0.18069587941243606,0.8232383905793493,0.06011057519272263,-22.94868604910136,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.7745541718376042,-0.04868421874174511,-2.0,-1.0,1.0,0.0,968.0,-218.75,0,0,-2.0,1.0,-125.0,23250.0,-1.0,3.0,10785.0,12465.0,-132.5,0.0
5733,2019-08-02,12:58:21.059031,158.0,158.0,157.875,157.9375,281,44378.6875,157.93127224199287,-0.0625,-0.0003956478785536177,158.08247006310302,158.25185638518175,-0.16938632207873638,1.0000000000000109,0.00244140625,-1.2000000000000028,0.0,0.0024414062499999735,0,5733,0.10044211049518328,0.7745541718376042,0.04941058844013066,-34.28138126385132,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.7172581012363706,-0.05729607060123365,-3.0,-1.0,-2.0,1.0,969.0,-62.5,0,0,-3.0,-2.0,125.0,23375.0,0.0,1.0,10787.5,12587.5,122.5,122.5
5734,2019-08-02,12:59:58.315505,157.9375,157.96875,157.84375,157.84375,281,44379.03125,157.93249555160142,-0.09375,-0.0005937654800876047,158.02942116019125,158.2392992656377,-0.20987810544644958,1.0000000000000173,0.0016601562499999993,-1.4878892733563756,-0.5413870509510844,0.0016601562499999705,0,5734,0.014460695818766854,0.7172581012363706,0.040745015032516194,-51.51013081697435,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.5706376057123517,-0.1466204955240189,-3.0,-1.0,-3.0,0.0,969.0,-156.25,0,0,-3.0,-3.0,281.25,23656.25,0.0,0.0,10787.5,12868.75,281.25,281.25
5735,2019-08-02,13:00:46.326584,157.84375,157.90625,157.8125,157.8125,282,44517.1875,157.86236702127658,-0.03125,-0.00019800019864657514,157.98121645792654,158.22616698054117,-0.24495052261463002,1.0000000000000333,0.0006835937499999995,-0.612244897959202,-0.5122408325718871,0.0006835937499999768,0,5735,-0.1771757815251448,0.5706376057123517,0.026145625829189417,-93.68699920013509,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.2724108555525832,-0.29822675015976846,-3.0,-1.0,-3.0,0.0,969.0,-187.5,0,0,-3.0,-3.0,93.75,23750.0,0.0,0.0,10787.5,12962.5,93.75,281.25
5736,2019-08-02,13:01:11.192723,157.8125,157.8125,157.75,157.78125,281,44336.65625,157.78169483985766,-0.03125,-0.00019803941049012508,157.9367794672762,158.21247722729376,-0.2756977600175503,1.0000000000000269,0.0009765624999999998,-3.00000000000006,-3.70074341541719e-15,0.0009765624999999737,0,5736,-0.48774116460976114,0.2724108555525832,0.031249999999999577,-88.22328320561729,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.1782467069621777,-0.0941641485904055,-3.0,-1.0,-3.0,0.0,969.0,-218.75,0,0,-3.0,-3.0,93.75,23843.75,0.0,0.0,10787.5,13056.25,93.75,93.75
5737,2019-08-02,13:01:44.622910,157.78125,157.78125,157.6875,157.71875,282,44477.8125,157.72273936170214,-0.0625,-0.0003961965186531913,157.8883284745482,158.1972856203001,-0.30895714575191846,1.0000000000000246,0.0007812499999999996,0.31250000000000827,-1.2577882373436324,0.0007812499999999803,0,5737,-0.5697435969827447,0.1782467069621777,0.02795084971874702,-110.53586880569739,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.20374837246116698,0.025501665498989273,3.0,-1.0,-3.0,0.0,969.0,-281.25,0,0,3.0,-3.0,187.5,24031.25,0.0,6.0,10802.5,13228.75,172.5,172.5
5738,2019-08-02,13:02:04.817025,157.71875,157.71875,157.5625,157.625,282,44453.875,157.63785460992906,-0.09375,-0.0005945892554519716,157.82981103575972,158.1796768319832,-0.3498657962234688,1.0000000000000133,0.0012695312500000003,-0.17751479289942415,-0.4047960089109369,0.0012695312499999836,0,5738,-0.5482021508822164,0.20374837246116698,0.03563048203434783,-98.19283272289097,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.277159864726231,0.07341149226506402,3.0,-1.0,3.0,1.0,970.0,-93.75,0,0,3.0,3.0,-281.25,23750.0,0.0,0.0,10802.5,12947.5,-281.25,172.5
5739,2019-08-02,13:02:27.224165,157.625,157.6875,157.5625,157.59375,281,44288.21875,157.6093193950178,-0.03125,-0.00019827500808489162,157.77735302781315,158.16164831407602,-0.38429528626286924,1.0000000000000038,0.00244140625,-1.1999999999999993,0.0,0.0024414062499999905,0,5739,-0.4834234174674536,0.277159864726231,0.04941058844013083,-77.7758975140535,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.3973143252592953,0.12015446053306428,3.0,-1.0,3.0,0.0,970.0,-125.0,0,0,3.0,3.0,-93.75,23656.25,0.0,0.0,10802.5,12853.75,-93.75,-93.75
5740,2019-08-02,13:02:48.554286,157.59375,157.65625,157.5625,157.59375,282,44446.3125,157.61103723404256,0.0,0.0,157.7365523549658,158.14417451979676,-0.40762216483096836,0.999999999999999,0.00361328125,-0.021913805697588867,-0.5901286563843656,0.0036132812500000036,0,5740,-0.36795592522754567,0.3973143252592953,0.06011057519272298,-67.8120552871228,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.5950483882937765,0.1977340630344812,3.0,-1.0,3.0,0.0,970.0,-125.0,0,0,3.0,3.0,0.0,23656.25,0.0,0.0,10802.5,12853.75,0.0,0.0
